code,system,display,industry_code
0600,urn:oid:2.16.840.1.114222.4.5.339,Cost Estimators,9190
0630,urn:oid:2.16.840.1.114222.4.5.339,Human Resources Workers,9190
0640,urn:oid:2.16.840.1.114222.4.5.339,"Compensation, Benefits, and Job Analysis Specialists",9190
0650,urn:oid:2.16.840.1.114222.4.5.339,Training and Development Specialists,9190
0700,urn:oid:2.16.840.1.114222.4.5.339,Logisticians,9190
0705,urn:oid:2.16.840.1.114222.4.5.339,Project Management Specialists,9190
0710,urn:oid:2.16.840.1.114222.4.5.339,Management Analysts,9380
0725,urn:oid:2.16.840.1.114222.4.5.339,"Meeting, Convention, and Event Planners",9190
0726,urn:oid:2.16.840.1.114222.4.5.339,Fundraisers,9190
0735,urn:oid:2.16.840.1.114222.4.5.339,Market Research Analysts and Marketing Specialists,9380
0750,urn:oid:2.16.840.1.114222.4.5.339,"Business Operations Specialists, All Other",9190
0800,urn:oid:2.16.840.1.114222.4.5.339,Accountants and Auditors,9380
0810,urn:oid:2.16.840.1.114222.4.5.339,Property Appraisers and Assessors,9190
0820,urn:oid:2.16.840.1.114222.4.5.339,Budget Analysts,9380
0830,urn:oid:2.16.840.1.114222.4.5.339,Credit Analysts,9380
0845,urn:oid:2.16.840.1.114222.4.5.339,Financial and Investment Analysts,9380
0850,urn:oid:2.16.840.1.114222.4.5.339,Personal Financial Advisors,9380
0860,urn:oid:2.16.840.1.114222.4.5.339,Insurance Underwriters,9380
0900,urn:oid:2.16.840.1.114222.4.5.339,Financial Examiners,9380
0910,urn:oid:2.16.840.1.114222.4.5.339,Credit Counselors and Loan Officers,7890
0930,urn:oid:2.16.840.1.114222.4.5.339,"Tax Examiners and Collectors, and Revenue Agents",9190
0940,urn:oid:2.16.840.1.114222.4.5.339,Tax Preparers,9190
0960,urn:oid:2.16.840.1.114222.4.5.339,Other Financial Specialists,9380
1005,urn:oid:2.16.840.1.114222.4.5.339,Computer and Information Research Scientists,9190
1006,urn:oid:2.16.840.1.114222.4.5.339,Computer Systems Analysts,9380
1007,urn:oid:2.16.840.1.114222.4.5.339,Information Security Analysts,9380
1010,urn:oid:2.16.840.1.114222.4.5.339,Computer Programmers,9190
1021,urn:oid:2.16.840.1.114222.4.5.339,Software Developers,9190
1022,urn:oid:2.16.840.1.114222.4.5.339,Software Quality Assurance Analysts and Testers,9380
1031,urn:oid:2.16.840.1.114222.4.5.339,Web Developers,9190
1032,urn:oid:2.16.840.1.114222.4.5.339,Web and Digital Interface Designers,9190
1050,urn:oid:2.16.840.1.114222.4.5.339,Computer Support Specialists,9190
1065,urn:oid:2.16.840.1.114222.4.5.339,Database Administrators and Architects,9190
1105,urn:oid:2.16.840.1.114222.4.5.339,Network and Computer Systems Administrators,9190
1106,urn:oid:2.16.840.1.114222.4.5.339,Computer Network Architects,9190
1108,urn:oid:2.16.840.1.114222.4.5.339,"Computer Occupations, All Other",9190
1200,urn:oid:2.16.840.1.114222.4.5.339,Actuaries,9190
1210,urn:oid:2.16.840.1.114222.4.5.339,Mathematicians,9190
1220,urn:oid:2.16.840.1.114222.4.5.339,Operations Research Analysts,9380
1230,urn:oid:2.16.840.1.114222.4.5.339,Statisticians,9190
1240,urn:oid:2.16.840.1.114222.4.5.339,Other Mathematical Science Occupations,9190
1305,urn:oid:2.16.840.1.114222.4.5.339,"Architects, Except Landscape and Naval",9190
1306,urn:oid:2.16.840.1.114222.4.5.339,Landscape Architects,9190
1310,urn:oid:2.16.840.1.114222.4.5.339,"Surveyors, Cartographers, and Photogrammetrists",9190
1320,urn:oid:2.16.840.1.114222.4.5.339,Aerospace Engineers,9190
1330,urn:oid:2.16.840.1.114222.4.5.339,Agricultural Engineers,0290
1340,urn:oid:2.16.840.1.114222.4.5.339,Bioengineers and Biomedical Engineers,8192
1350,urn:oid:2.16.840.1.114222.4.5.339,Chemical Engineers,9190
1360,urn:oid:2.16.840.1.114222.4.5.339,Civil Engineers,9190
1400,urn:oid:2.16.840.1.114222.4.5.339,Computer Hardware Engineers,9190
1410,urn:oid:2.16.840.1.114222.4.5.339,Electrical and Electronics Engineers,9190
1420,urn:oid:2.16.840.1.114222.4.5.339,Environmental Engineers,9190
1430,urn:oid:2.16.840.1.114222.4.5.339,"Industrial Engineers, Including Health and Safety",8192
1440,urn:oid:2.16.840.1.114222.4.5.339,Marine Engineers and Naval Architects,9190
1450,urn:oid:2.16.840.1.114222.4.5.339,Materials Engineers,9190
1460,urn:oid:2.16.840.1.114222.4.5.339,Mechanical Engineers,9190
1500,urn:oid:2.16.840.1.114222.4.5.339,"Mining and Geological Engineers, Including Mining Safety Engineers",9190
1510,urn:oid:2.16.840.1.114222.4.5.339,Nuclear Engineers,9190
1520,urn:oid:2.16.840.1.114222.4.5.339,Petroleum Engineers,9190
1530,urn:oid:2.16.840.1.114222.4.5.339,"Engineers, All Other",9190
1541,urn:oid:2.16.840.1.114222.4.5.339,Architectural and Civil Drafters,9190
1545,urn:oid:2.16.840.1.114222.4.5.339,Other Drafters,9190
1551,urn:oid:2.16.840.1.114222.4.5.339,Electrical and Electronic Engineering Technologists and Technicians,9190
1555,urn:oid:2.16.840.1.114222.4.5.339,"Other Engineering Technologists and Technicians, Except Drafters",9190
1560,urn:oid:2.16.840.1.114222.4.5.339,Surveying and Mapping Technicians,9190
1600,urn:oid:2.16.840.1.114222.4.5.339,Agricultural and Food Scientists,0290
1610,urn:oid:2.16.840.1.114222.4.5.339,Biological Scientists,9190
1640,urn:oid:2.16.840.1.114222.4.5.339,Conservation Scientists and Foresters,0290
1650,urn:oid:2.16.840.1.114222.4.5.339,Medical Scientists,8192
1660,urn:oid:2.16.840.1.114222.4.5.339,"Life Scientists, All Other",9190
1700,urn:oid:2.16.840.1.114222.4.5.339,Astronomers and Physicists,9190
1710,urn:oid:2.16.840.1.114222.4.5.339,Atmospheric and Space Scientists,9190
1720,urn:oid:2.16.840.1.114222.4.5.339,Chemists and Materials Scientists,9190
1745,urn:oid:2.16.840.1.114222.4.5.339,"Environmental Scientists and Specialists, Including Health",8192
1750,urn:oid:2.16.840.1.114222.4.5.339,"Geoscientists and Hydrologists, Except Geographers",9190
1760,urn:oid:2.16.840.1.114222.4.5.339,"Physical Scientists, All Other",9190
1800,urn:oid:2.16.840.1.114222.4.5.339,Economists,9190
1815,urn:oid:2.16.840.1.114222.4.5.339,Survey Researchers,9190
1821,urn:oid:2.16.840.1.114222.4.5.339,Clinical and Counseling Psychologists,8192
1822,urn:oid:2.16.840.1.114222.4.5.339,School Psychologists,8192
1825,urn:oid:2.16.840.1.114222.4.5.339,Other Psychologists,8192
1830,urn:oid:2.16.840.1.114222.4.5.339,Sociologists,9190
1840,urn:oid:2.16.840.1.114222.4.5.339,Urban and Regional Planners,9190
1860,urn:oid:2.16.840.1.114222.4.5.339,Miscellaneous Social Scientists and Related Workers,9190
1900,urn:oid:2.16.840.1.114222.4.5.339,Agricultural and Food Science Technicians,0290
1910,urn:oid:2.16.840.1.114222.4.5.339,Biological Technicians,9190
1920,urn:oid:2.16.840.1.114222.4.5.339,Chemical Technicians,9190
1935,urn:oid:2.16.840.1.114222.4.5.339,Environmental Science and Geoscience Technicians,9190
1940,urn:oid:2.16.840.1.114222.4.5.339,Nuclear Technicians,9190
1950,urn:oid:2.16.840.1.114222.4.5.339,Social Science Research Assistants,9190
1970,urn:oid:2.16.840.1.114222.4.5.339,"Other Life, Physical, and Social Science Technicians",9190
1980,urn:oid:2.16.840.1.114222.4.5.339,Occupational Health and Safety Specialists and Technicians,8192
2001,urn:oid:2.16.840.1.114222.4.5.339,Substance Abuse and Behavioral Disorder Counselors,7890
2002,urn:oid:2.16.840.1.114222.4.5.339,"Educational, Guidance, and Career Counselors and Advisors",7890
2003,urn:oid:2.16.840.1.114222.4.5.339,Marriage and Family Therapists,8192
2004,urn:oid:2.16.840.1.114222.4.5.339,Mental Health Counselors,8192
2005,urn:oid:2.16.840.1.114222.4.5.339,Rehabilitation Counselors,7890
2006,urn:oid:2.16.840.1.114222.4.5.339,"Counselors, All Other",7890
2011,urn:oid:2.16.840.1.114222.4.5.339,"Child, Family, and School Social Workers",9190
2012,urn:oid:2.16.840.1.114222.4.5.339,Healthcare Social Workers,8192
2013,urn:oid:2.16.840.1.114222.4.5.339,Mental Health and Substance Abuse Social Workers,8192
2014,urn:oid:2.16.840.1.114222.4.5.339,"Social Workers, All Other",9190
2015,urn:oid:2.16.840.1.114222.4.5.339,Probation Officers and Correctional Treatment Specialists,9390
2016,urn:oid:2.16.840.1.114222.4.5.339,Social and Human Service Assistants,9190
2025,urn:oid:2.16.840.1.114222.4.5.339,Other Community and Social Service Specialists,9190
2040,urn:oid:2.16.840.1.114222.4.5.339,Clergy,9190
2050,urn:oid:2.16.840.1.114222.4.5.339,"Directors, Religious Activities and Education",9190
2060,urn:oid:2.16.840.1.114222.4.5.339,"Religious Workers, All Other",9190
2100,urn:oid:2.16.840.1.114222.4.5.339,Lawyers,9190
2105,urn:oid:2.16.840.1.114222.4.5.339,Judicial Law Clerks,9190
2110,urn:oid:2.16.840.1.114222.4.5.339,"Judges, Magistrates, and Other Judicial Workers",9390
2145,urn:oid:2.16.840.1.114222.4.5.339,Paralegals and Legal Assistants,9190
2170,urn:oid:2.16.840.1.114222.4.5.339,"Title Examiners, Abstractors, and Searchers",8670
2180,urn:oid:2.16.840.1.114222.4.5.339,"Legal Support Workers, All Other",9190
2205,urn:oid:2.16.840.1.114222.4.5.339,Postsecondary Teachers,7890
2300,urn:oid:2.16.840.1.114222.4.5.339,Preschool and Kindergarten Teachers,7890
2310,urn:oid:2.16.840.1.114222.4.5.339,Elementary and Middle School Teachers,7890
2320,urn:oid:2.16.840.1.114222.4.5.339,Secondary School Teachers,7890
2330,urn:oid:2.16.840.1.114222.4.5.339,Special Education Teachers,7890
2350,urn:oid:2.16.840.1.114222.4.5.339,Tutors,7890
2360,urn:oid:2.16.840.1.114222.4.5.339,Other Teachers and Instructors,7890
2400,urn:oid:2.16.840.1.114222.4.5.339,"Archivists, Curators, and Museum Technicians",9190
2435,urn:oid:2.16.840.1.114222.4.5.339,Librarians and Media Collections Specialists,7890
2440,urn:oid:2.16.840.1.114222.4.5.339,Library Technicians,9190
2545,urn:oid:2.16.840.1.114222.4.5.339,Teaching Assistants,9190
2555,urn:oid:2.16.840.1.114222.4.5.339,Other Educational Instruction and Library Workers,9190
2600,urn:oid:2.16.840.1.114222.4.5.339,Artists and Related Workers,8670
2631,urn:oid:2.16.840.1.114222.4.5.339,Commercial and Industrial Designers,9190
2632,urn:oid:2.16.840.1.114222.4.5.339,Fashion Designers,9190
2633,urn:oid:2.16.840.1.114222.4.5.339,Floral Designers,9190
2634,urn:oid:2.16.840.1.114222.4.5.339,Graphic Designers,9190
2635,urn:oid:2.16.840.1.114222.4.5.339,Interior Designers,9190
2636,urn:oid:2.16.840.1.114222.4.5.339,Merchandise Displayers and Window Trimmers,9190
2640,urn:oid:2.16.840.1.114222.4.5.339,Other Designers,9190
2700,urn:oid:2.16.840.1.114222.4.5.339,Actors,8670
2710,urn:oid:2.16.840.1.114222.4.5.339,Producers and Directors,9190
2721,urn:oid:2.16.840.1.114222.4.5.339,Athletes and Sports Competitors,8670
2722,urn:oid:2.16.840.1.114222.4.5.339,Coaches and Scouts,9190
2723,urn:oid:2.16.840.1.114222.4.5.339,"Umpires, Referees, and Other Sports Officials",9190
2740,urn:oid:2.16.840.1.114222.4.5.339,Dancers and Choreographers,8670
2751,urn:oid:2.16.840.1.114222.4.5.339,Music Directors and Composers,9190
2752,urn:oid:2.16.840.1.114222.4.5.339,Musicians and Singers,8670
2755,urn:oid:2.16.840.1.114222.4.5.339,"Disc Jockeys, Except Radio",9190
2770,urn:oid:2.16.840.1.114222.4.5.339,"Entertainers and Performers, Sports and Related Workers, All Other",9190
2805,urn:oid:2.16.840.1.114222.4.5.339,Broadcast Announcers and Radio Disc Jockeys,9990
2810,urn:oid:2.16.840.1.114222.4.5.339,"News Analysts, Reporters, and Journalists",9380
2825,urn:oid:2.16.840.1.114222.4.5.339,Public Relations Specialists,9190
2830,urn:oid:2.16.840.1.114222.4.5.339,Editors,9190
2840,urn:oid:2.16.840.1.114222.4.5.339,Technical Writers,9190
2850,urn:oid:2.16.840.1.114222.4.5.339,Writers and Authors,9190
2861,urn:oid:2.16.840.1.114222.4.5.339,Interpreters and Translators,9190
2862,urn:oid:2.16.840.1.114222.4.5.339,Court Reporters and Simultaneous Captioners,9190
2865,urn:oid:2.16.840.1.114222.4.5.339,"Media and Communication Workers, All Other",9190
2905,urn:oid:2.16.840.1.114222.4.5.339,"Broadcast, Sound, and Lighting Technicians",9190
2910,urn:oid:2.16.840.1.114222.4.5.339,Photographers,8670
2920,urn:oid:2.16.840.1.114222.4.5.339,"Television, Video, and Film Camera Operators and Editors",9190
2970,urn:oid:2.16.840.1.114222.4.5.339,"Media and Communication Equipment Workers, All Other",9190
3000,urn:oid:2.16.840.1.114222.4.5.339,Chiropractors,8192
3010,urn:oid:2.16.840.1.114222.4.5.339,Dentists,8192
3030,urn:oid:2.16.840.1.114222.4.5.339,Dietitians and Nutritionists,8192
3040,urn:oid:2.16.840.1.114222.4.5.339,Optometrists,8192
3050,urn:oid:2.16.840.1.114222.4.5.339,Pharmacists,8192
3065,urn:oid:2.16.840.1.114222.4.5.339,Emergency Medicine Physicians,8192
3070,urn:oid:2.16.840.1.114222.4.5.339,Radiologists,9190
3090,urn:oid:2.16.840.1.114222.4.5.339,Other Physicians,8192
3100,urn:oid:2.16.840.1.114222.4.5.339,Surgeons,8192
3110,urn:oid:2.16.840.1.114222.4.5.339,Physician Assistants,8192
3120,urn:oid:2.16.840.1.114222.4.5.339,Podiatrists,9190
3140,urn:oid:2.16.840.1.114222.4.5.339,Audiologists,9190
3150,urn:oid:2.16.840.1.114222.4.5.339,Occupational Therapists,8192
3160,urn:oid:2.16.840.1.114222.4.5.339,Physical Therapists,8192
3200,urn:oid:2.16.840.1.114222.4.5.339,Radiation Therapists,8192
3210,urn:oid:2.16.840.1.114222.4.5.339,Recreational Therapists,8192
3220,urn:oid:2.16.840.1.114222.4.5.339,Respiratory Therapists,8192
3230,urn:oid:2.16.840.1.114222.4.5.339,Speech-Language Pathologists,9190
3235,urn:oid:2.16.840.1.114222.4.5.339,Exercise Physiologists,9190
3245,urn:oid:2.16.840.1.114222.4.5.339,"Therapists, All Other",8192
3250,urn:oid:2.16.840.1.114222.4.5.339,Veterinarians,8192
3255,urn:oid:2.16.840.1.114222.4.5.339,Registered Nurses,8192
3256,urn:oid:2.16.840.1.114222.4.5.339,Nurse Anesthetists,8192
3257,urn:oid:2.16.840.1.114222.4.5.339,Nurse Midwives,8192
3258,urn:oid:2.16.840.1.114222.4.5.339,Nurse Practitioners,8192
3261,urn:oid:2.16.840.1.114222.4.5.339,Acupuncturists,9190
3270,urn:oid:2.16.840.1.114222.4.5.339,"Healthcare Diagnosing or Treating Practitioners, All Other",8192
3300,urn:oid:2.16.840.1.114222.4.5.339,Clinical Laboratory Technologists and Technicians,8192
3310,urn:oid:2.16.840.1.114222.4.5.339,Dental Hygienists,8192
3321,urn:oid:2.16.840.1.114222.4.5.339,Cardiovascular Technologists and Technicians,9190
3322,urn:oid:2.16.840.1.114222.4.5.339,Diagnostic Medical Sonographers,8192
3323,urn:oid:2.16.840.1.114222.4.5.339,Radiologic Technologists and Technicians,8192
3324,urn:oid:2.16.840.1.114222.4.5.339,Magnetic Resonance Imaging Technologists,9190
3330,urn:oid:2.16.840.1.114222.4.5.339,Nuclear Medicine Technologists and Medical Dosimetrists,8192
3401,urn:oid:2.16.840.1.114222.4.5.339,Emergency Medical Technicians,8192
3402,urn:oid:2.16.840.1.114222.4.5.339,Paramedics,8192
3421,urn:oid:2.16.840.1.114222.4.5.339,Pharmacy Technicians,9190
3422,urn:oid:2.16.840.1.114222.4.5.339,Psychiatric Technicians,9190
3423,urn:oid:2.16.840.1.114222.4.5.339,Surgical Technologists,9190
3424,urn:oid:2.16.840.1.114222.4.5.339,Veterinary Technologists and Technicians,9190
3430,urn:oid:2.16.840.1.114222.4.5.339,Dietetic Technicians and Ophthalmic Medical Technicians,8192
3500,urn:oid:2.16.840.1.114222.4.5.339,Licensed Practical and Licensed Vocational Nurses,8192
3515,urn:oid:2.16.840.1.114222.4.5.339,Medical Records Specialists,8192
3520,urn:oid:2.16.840.1.114222.4.5.339,"Opticians, Dispensing",9190
3545,urn:oid:2.16.840.1.114222.4.5.339,Miscellaneous Health Technologists and Technicians,8192
3550,urn:oid:2.16.840.1.114222.4.5.339,Other Healthcare Practitioners and Technical Occupations,8192
3601,urn:oid:2.16.840.1.114222.4.5.339,Home Health Aides,8192
3602,urn:oid:2.16.840.1.114222.4.5.339,Personal Care Aides,9190
3603,urn:oid:2.16.840.1.114222.4.5.339,Nursing Assistants,9190
3605,urn:oid:2.16.840.1.114222.4.5.339,Orderlies and Psychiatric Aides,9190
3610,urn:oid:2.16.840.1.114222.4.5.339,Occupational Therapy Assistants and Aides,9190
3620,urn:oid:2.16.840.1.114222.4.5.339,Physical Therapist Assistants and Aides,8192
3630,urn:oid:2.16.840.1.114222.4.5.339,Massage Therapists,8192
3640,urn:oid:2.16.840.1.114222.4.5.339,Dental Assistants,8192
3645,urn:oid:2.16.840.1.114222.4.5.339,Medical Assistants,8192
3646,urn:oid:2.16.840.1.114222.4.5.339,Medical Transcriptionists,8192
3647,urn:oid:2.16.840.1.114222.4.5.339,Pharmacy Aides,9190
3648,urn:oid:2.16.840.1.114222.4.5.339,Veterinary Assistants and Laboratory Animal Caretakers,9190
3649,urn:oid:2.16.840.1.114222.4.5.339,Phlebotomists,9190
3655,urn:oid:2.16.840.1.114222.4.5.339,Other Healthcare Support Workers,8192
3700,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Correctional Officers,9390
3710,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Police and Detectives,9390
3720,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Firefighting and Prevention Workers,9190
3725,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Security Workers,9190
3735,urn:oid:2.16.840.1.114222.4.5.339,"First-Line Supervisors of Protective Service Workers, All Other",9190
3740,urn:oid:2.16.840.1.114222.4.5.339,Firefighters,9390
3750,urn:oid:2.16.840.1.114222.4.5.339,Fire Inspectors,9390
3801,urn:oid:2.16.840.1.114222.4.5.339,Bailiffs,9190
3802,urn:oid:2.16.840.1.114222.4.5.339,Correctional Officers and Jailers,9390
3820,urn:oid:2.16.840.1.114222.4.5.339,Detectives and Criminal Investigators,9390
3830,urn:oid:2.16.840.1.114222.4.5.339,Fish and Game Wardens,9190
3840,urn:oid:2.16.840.1.114222.4.5.339,Parking Enforcement Workers,9190
3870,urn:oid:2.16.840.1.114222.4.5.339,Police Officers,9390
3900,urn:oid:2.16.840.1.114222.4.5.339,Animal Control Workers,9190
3910,urn:oid:2.16.840.1.114222.4.5.339,Private Detectives and Investigators,9390
3930,urn:oid:2.16.840.1.114222.4.5.339,Security Guards and Gambling Surveillance Officers,9390
3940,urn:oid:2.16.840.1.114222.4.5.339,Crossing Guards and Flaggers,9190
3945,urn:oid:2.16.840.1.114222.4.5.339,Transportation Security Screeners,6390
3946,urn:oid:2.16.840.1.114222.4.5.339,School Bus Monitors,9190
3960,urn:oid:2.16.840.1.114222.4.5.339,Other Protective Service Workers,9190
4000,urn:oid:2.16.840.1.114222.4.5.339,Chefs and Head Cooks,8680
4010,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Food Preparation and Serving Workers,9190
4020,urn:oid:2.16.840.1.114222.4.5.339,Cooks,8680
4030,urn:oid:2.16.840.1.114222.4.5.339,Food Preparation Workers,9190
4040,urn:oid:2.16.840.1.114222.4.5.339,Bartenders,8680
4055,urn:oid:2.16.840.1.114222.4.5.339,Fast Food and Counter Workers,9190
4110,urn:oid:2.16.840.1.114222.4.5.339,Waiters and Waitresses,8680
4120,urn:oid:2.16.840.1.114222.4.5.339,"Food Servers, Nonrestaurant",9190
4130,urn:oid:2.16.840.1.114222.4.5.339,Dining Room and Cafeteria Attendants and Bartender Helpers,8680
4140,urn:oid:2.16.840.1.114222.4.5.339,Dishwashers,8680
4150,urn:oid:2.16.840.1.114222.4.5.339,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",8680
4160,urn:oid:2.16.840.1.114222.4.5.339,"Food Preparation and Serving Related Workers, All Other",9190
4200,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Housekeeping and Janitorial Workers,9190
4210,urn:oid:2.16.840.1.114222.4.5.339,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",9190
4220,urn:oid:2.16.840.1.114222.4.5.339,Janitors and Building Cleaners,9190
4230,urn:oid:2.16.840.1.114222.4.5.339,Maids and Housekeeping Cleaners,9190
4240,urn:oid:2.16.840.1.114222.4.5.339,Pest Control Workers,9190
4251,urn:oid:2.16.840.1.114222.4.5.339,Landscaping and Groundskeeping Workers,9190
4252,urn:oid:2.16.840.1.114222.4.5.339,Tree Trimmers and Pruners,9190
4255,urn:oid:2.16.840.1.114222.4.5.339,Other Grounds Maintenance Workers,9190
4330,urn:oid:2.16.840.1.114222.4.5.339,Supervisors of Personal Care and Service Workers,9190
4340,urn:oid:2.16.840.1.114222.4.5.339,Animal Trainers,9190
4350,urn:oid:2.16.840.1.114222.4.5.339,Animal Caretakers,9190
4400,urn:oid:2.16.840.1.114222.4.5.339,Gambling Services Workers,9190
4420,urn:oid:2.16.840.1.114222.4.5.339,"Ushers, Lobby Attendants, and Ticket Takers",9190
4435,urn:oid:2.16.840.1.114222.4.5.339,Other Entertainment Attendants and Related Workers,8670
4461,urn:oid:2.16.840.1.114222.4.5.339,"Embalmers, Crematory Operators and Funeral Attendants",9190
4465,urn:oid:2.16.840.1.114222.4.5.339,"Morticians, Undertakers, and Funeral Arrangers",9190
4500,urn:oid:2.16.840.1.114222.4.5.339,Barbers,9190
4510,urn:oid:2.16.840.1.114222.4.5.339,"Hairdressers, Hairstylists, and Cosmetologists",9190
4521,urn:oid:2.16.840.1.114222.4.5.339,Manicurists and Pedicurists,9190
4522,urn:oid:2.16.840.1.114222.4.5.339,Skincare Specialists,9190
4525,urn:oid:2.16.840.1.114222.4.5.339,Other Personal Appearance Workers,9190
4530,urn:oid:2.16.840.1.114222.4.5.339,"Baggage Porters, Bellhops, and Concierges",9190
4540,urn:oid:2.16.840.1.114222.4.5.339,Tour and Travel Guides,9190
4600,urn:oid:2.16.840.1.114222.4.5.339,Childcare Workers,9190
4621,urn:oid:2.16.840.1.114222.4.5.339,Exercise Trainers and Group Fitness Instructors,7890
4622,urn:oid:2.16.840.1.114222.4.5.339,Recreation Workers,8670
4640,urn:oid:2.16.840.1.114222.4.5.339,Residential Advisors,9190
4655,urn:oid:2.16.840.1.114222.4.5.339,"Personal Care and Service Workers, All Other",9190
4700,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Retail Sales Workers,5790
4710,urn:oid:2.16.840.1.114222.4.5.339,First-Line Supervisors of Non-Retail Sales Workers,5790
4720,urn:oid:2.16.840.1.114222.4.5.339,Cashiers,5790
4740,urn:oid:2.16.840.1.114222.4.5.339,Counter and Rental Clerks,9190
4750,urn:oid:2.16.840.1.114222.4.5.339,Parts Salespersons,5790
4760,urn:oid:2.16.840.1.114222.4.5.339,Retail Salespersons,5790
4800,urn:oid:2.16.840.1.114222.4.5.339,Advertising Sales Agents,5790
4810,urn:oid:2.16.840.1.114222.4.5.339,Insurance Sales Agents,5790
4820,urn:oid:2.16.840.1.114222.4.5.339,"Securities, Commodities, and Financial Services Sales Agents",5790
4830,urn:oid:2.16.840.1.114222.4.5.339,Travel Agents,9190
4840,urn:oid:2.16.840.1.114222.4.5.339,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4590
4850,urn:oid:2.16.840.1.114222.4.5.339,"Sales Representatives, Wholesale and Manufacturing",4590
4900,urn:oid:2.16.840.1.114222.4.5.339,"Models, Demonstrators, and Product Promoters",9190
4920,urn:oid:2.16.840.1.114222.4.5.339,Real Estate Brokers and Sales Agents,5790
4930,urn:oid:2.16.840.1.114222.4.5.339,Sales Engineers,5790
4940,urn:oid:2.16.840.1.114222.4.5.339,Telemarketers,9190
4950,urn:oid:2.16.840.1.114222.4.5.339,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",5790
