label,preset_name,code,system,value_type,quantity_min,quantity_max,quantity_unit,priority,notes
Sodium [Moles/volume] in Serum or Plasma,Low Range,2951-2,http://loinc.org,Quantity,125,135,mmol/L,1,Mild and moderate hyponatremia
Sodium [Moles/volume] in Serum or Plasma,Normal Range,2951-2,http://loinc.org,Quantity,136,145,mmol/L,2,
Sodium [Moles/volume] in Serum or Plasma,High Range,2951-2,http://loinc.org,Quantity,146,155,mmol/L,3,Mild and moderate hypernatremia
Potassium [Moles/volume] in Serum or Plasma,Low Range,2823-3,http://loinc.org,Quantity,2.5,3.4,mmol/L,1,
Potassium [Moles/volume] in Serum or Plasma,Normal Range,2823-3,http://loinc.org,Quantity,3.5,5.2,mmol/L,2,
Potassium [Moles/volume] in Serum or Plasma,High Range,2823-3,http://loinc.org,Quantity,5.3,7,mmol/L,3,
Chloride [Moles/volume] in Serum or Plasma,Low Range,2075-0,http://loinc.org,Quantity,88,97,mmol/L,1,
Chloride [Moles/volume] in Serum or Plasma,Normal Range,2075-1,http://loinc.org,Quantity,98,107,mmol/L,2,
Chloride [Moles/volume] in Serum or Plasma,High Range,2075-2,http://loinc.org,Quantity,108,115,mmol/L,3,
"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Low Range,2028-9,http://loinc.org,Quantity,15,22,mmol/L,1,
"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Normal Range,2028-9,http://loinc.org,Quantity,23,29,mmol/L,2,
"Carbon dioxide, total [Moles/volume] in Serum or Plasma",High Range,2028-9,http://loinc.org,Quantity,30,40,mmol/L,3,
Anion gap in Serum or Plasma by calculation,Normal Range,33037-3,http://loinc.org,Quantity,2,11,mmol/L,1,
Anion gap in Serum or Plasma by calculation,High Range,33037-3,http://loinc.org,Quantity,12,30,mmol/L,2,
Leukocytes [#/volume] in Blood by Automated count,Low Range,6690-2,http://loinc.org,Quantity,2,3.9,10*3/uL,1,
Leukocytes [#/volume] in Blood by Automated count,Normal Range,6690-2,http://loinc.org,Quantity,4,11,10*3/uL,2,
Leukocytes [#/volume] in Blood by Automated count,High Range,6690-2,http://loinc.org,Quantity,11.1,25,10*3/uL,3,
Erythrocytes [#/volume] in Blood by Automated count,Low Range,789-8,http://loinc.org,Quantity,2.8,3.7,10*6/uL,1,
Erythrocytes [#/volume] in Blood by Automated count,Normal Range,789-8,http://loinc.org,Quantity,3.8,5.9,10*6/uL,2,
Erythrocytes [#/volume] in Blood by Automated count,High Range,789-8,http://loinc.org,Quantity,6,7.5,10*6/uL,3,
Hemoglobin [Mass/volume] in Blood,Low Range,718-7,http://loinc.org,Quantity,9,11.9,g/dL,1,
Hemoglobin [Mass/volume] in Blood,Normal Range,718-7,http://loinc.org,Quantity,12,17,g/dL,2,
Hemoglobin [Mass/volume] in Blood,High Range,718-7,http://loinc.org,Quantity,17.1,20,g/dL,3,
Hematocrit [Volume Fraction] of Blood by Automated count,Low Range,4544-3,http://loinc.org,Quantity,28,35,%,1,
Hematocrit [Volume Fraction] of Blood by Automated count,Normal Range,4544-3,http://loinc.org,Quantity,36,50,%,2,
Hematocrit [Volume Fraction] of Blood by Automated count,High Range,4544-3,http://loinc.org,Quantity,51,60,%,3,
Erythrocyte mean corpuscular volume [Entitic volume] by Automated count,Low Range,787-2,http://loinc.org,Quantity,70,79,fL,1,
Erythrocyte mean corpuscular volume [Entitic volume] by Automated count,Normal Range,787-2,http://loinc.org,Quantity,80,100,fL,2,
Erythrocyte mean corpuscular volume [Entitic volume] by Automated count,High Range,787-2,http://loinc.org,Quantity,101,120,fL,3,
Erythrocyte distribution width [Ratio] by Automated count,Normal Range,788-0,http://loinc.org,Quantity,11.5,14.5,%,1,
Erythrocyte distribution width [Ratio] by Automated count,High Range,788-0,http://loinc.org,Quantity,14.6,20,%,2,
Platelets [#/volume] in Blood by Automated count,Low Range,777-3,http://loinc.org,Quantity,50,149,10*3/uL,1,
Platelets [#/volume] in Blood by Automated count,Normal Range,777-3,http://loinc.org,Quantity,150,400,10*3/uL,2,
Platelets [#/volume] in Blood by Automated count,High Range,777-3,http://loinc.org,Quantity,401,800,10*3/uL,3,
Platelet mean volume [Entitic volume] in Blood by Automated count,Normal Range,32623-1,http://loinc.org,Quantity,7.5,11.5,fL,1,
Platelet mean volume [Entitic volume] in Blood by Automated count,High Range,32623-1,http://loinc.org,Quantity,11.6,15,fL,2,
Neutrophils/100 leukocytes in Blood by Automated count,Low Range,770-8,http://loinc.org,Quantity,30,39,%,1,
Neutrophils/100 leukocytes in Blood by Automated count,Normal Range,770-8,http://loinc.org,Quantity,40,70,%,2,
Neutrophils/100 leukocytes in Blood by Automated count,High Range,770-8,http://loinc.org,Quantity,71,90,%,3,
Lymphocytes/100 leukocytes in Blood by Automated count,Low Range,736-9,http://loinc.org,Quantity,10,19,%,1,
Lymphocytes/100 leukocytes in Blood by Automated count,Normal Range,736-9,http://loinc.org,Quantity,20,40,%,2,
Lymphocytes/100 leukocytes in Blood by Automated count,High Range,736-9,http://loinc.org,Quantity,41,60,%,3,
Monocytes/100 leukocytes in Blood by Automated count,Normal Range,5905-5,http://loinc.org,Quantity,2,10,%,1,
Monocytes/100 leukocytes in Blood by Automated count,High Range,5905-5,http://loinc.org,Quantity,11,20,%,2,
Eosinophils/100 leukocytes in Blood by Automated count,Normal Range,713-8,http://loinc.org,Quantity,0,5,%,1,
Eosinophils/100 leukocytes in Blood by Automated count,High Range,713-8,http://loinc.org,Quantity,6,20,%,2,
Basophils/100 leukocytes in Blood by Automated count,Normal Range,706-2,http://loinc.org,Quantity,0,2,%,1,
Basophils/100 leukocytes in Blood by Automated count,High Range,706-2,http://loinc.org,Quantity,3,5,%,2,
